experiment,controller_type,seat,mean_delta_v_executed,mean_regret,n_decisions,game_index
sane_random,sane_random,4.0,24.28277684037175,74.30451761979555,56.0,67
sane_random,sane_random,1.0,33.85248337167173,43.568646358463575,63.0,68
sane_random,sane_random,2.0,33.40150289853387,126.53953895510618,62.0,68
sane_random,sane_random,3.0,33.19770313401676,44.43554458169081,57.0,68
sane_random,sane_random,4.0,77.13182378321162,92.72725080104324,63.0,68
sane_random,sane_random,1.0,67.13106411868912,70.20813178412037,58.0,69
sane_random,sane_random,2.0,66.31209017474272,48.358535097495256,66.0,69
sane_random,sane_random,3.0,54.09910644313907,69.64273350763617,54.0,69
sane_random,sane_random,4.0,1.2804115800967473,115.96133449200426,55.0,69
sane_random,sane_random,1.0,40.565080059000685,33.04102329448617,47.0,70
sane_random,sane_random,2.0,40.22221461847245,80.75106231894345,57.0,70
sane_random,sane_random,3.0,110.856833573651,62.37232282215796,58.0,70
sane_random,sane_random,4.0,-8.855295968019044,48.69567902355377,57.0,70
sane_random,sane_random,1.0,81.77148642100912,65.87474707096366,69.0,71
sane_random,sane_random,2.0,1.5973081745072086,51.02448590194882,67.0,71
sane_random,sane_random,3.0,136.2443537343332,125.44163905345404,57.0,71
sane_random,sane_random,4.0,6.747727776774905,214.34145359301425,57.0,71
sane_random,sane_random,1.0,70.01667641560019,98.0480085127258,56.0,72
sane_random,sane_random,2.0,39.49292962056296,107.21691830004062,64.0,72
sane_random,sane_random,3.0,-6.222347752503584,101.31634898135985,67.0,72
sane_random,sane_random,4.0,-30.002024519869607,158.56191979297822,57.0,72
sane_random,sane_random,1.0,34.158033673298746,237.44969186156987,74.0,73
sane_random,sane_random,2.0,65.19955450099187,30.256689032032664,61.0,73
sane_random,sane_random,3.0,-5.687563150922423,104.33386161089668,59.0,73
sane_random,sane_random,4.0,20.187361760965057,32.551555802166575,64.0,73
